hip,proper,ra,dec,mag,ci,spect,con,bayer,flam
32349,Sirius,6.752481,-16.716116,-1.44,0.009,A0m...,CMa,Alp,9
30438,Canopus,6.399195,-52.69566,-0.62,0.164,F0Ib,Car,Alp,
69673,Arcturus,14.26103,19.18241,-0.05,1.239,K2IIIp,Boo,Alp,16
71683,Rigil Kentaurus,14.660765,-60.833976,-0.01,0.71,G2V,Cen,Alp-1,
91262,Vega,18.61564,38.783692,0.03,-0.001,A0Vvar,Lyr,Alp,3
24608,Capella,5.27815,45.997991,0.08,0.795,M1: comp,Aur,Alp,13
24436,Rigel,5.242298,-8.20164,0.18,-0.03,B8Ia,Ori,Bet,19
37279,Procyon,7.655033,5.224993,0.4,0.432,F5IV-V,CMi,Alp,10
7588,Achernar,1.628556,-57.236757,0.45,-0.158,B3Vp,Eri,Alp,
27989,Betelgeuse,5.919529,7.407063,0.45,1.5,M2Ib,Ori,Alp,58
68702,Hadar,14.063729,-60.373039,0.61,-0.231,B1III,Cen,Bet,
97649,Altair,19.846388,8.868322,0.76,0.221,A7IV-V,Aql,Alp,53
60718,Acrux,12.443311,-63.099092,0.77,-0.243,B0.5IV,Cru,Alp-1,
21421,Aldebaran,4.598677,16.509301,0.87,1.538,K5III,Tau,Alp,87
,,5.277926,46.000842,0.96,,G0 III,Aur,,
65474,Spica,13.419883,-11.161322,0.98,-0.235,B1V,Vir,Alp,67
80763,Antares,16.490128,-26.432002,1.06,1.865,M1Ib + B2.5V,Sco,Alp,21
37826,Pollux,7.755277,28.026199,1.16,0.991,K0IIIvar,Gem,Bet,78
113368,Fomalhaut,22.960838,-29.622236,1.17,0.145,A3V,PsA,Alp,24
62434,Mimosa,12.795359,-59.688764,1.25,-0.238,B0.5III,Cru,Bet,
102098,Deneb,20.690532,45.280338,1.25,0.092,A2Ia,Cyg,Alp,50
71681,Toliman,14.660346,-60.8383,1.35,0.9,K1V,Cen,Alp-2,
49669,Regulus,10.139532,11.967207,1.36,-0.087,B7V,Leo,Alp,32
33579,Adhara,6.977097,-28.972084,1.5,-0.211,B2II,CMa,Eps,21
36850,Castor,7.576634,31.888276,1.58,0.034,A2Vm,Gem,Alp,66
61084,Gacrux,12.519429,-57.113212,1.59,1.6,M4III,Cru,Gam,
85927,Shaula,17.560145,-37.103821,1.62,-0.231,B1.5IV+...,Sco,Lam,35
25336,Bellatrix,5.418851,6.349702,1.64,-0.224,B2III,Ori,Gam,24
